osmid,name,amenity,city,district,street,housenumber,lat,lon
n846339978,Музыкальная школа №9,school,Минск,Первомайский район,,,n846339978,53.9285825
n1870460809,Кафетерий,cafe,Минск,Партизанский район,Первомайская улица,28,n1870460809,53.9032563
w173158187,д/с №315,kindergarten,Минск,Ленинский район,,,w173158187,53.8611325346964
n1870460885,Столовая МАЗ,cafe,Минск,Заводской район,,,n1870460885,53.8666749
w331359857,д/с №491,kindergarten,Минск,Октябрьский район,,,w331359857,53.8832963501493
n2600533976,Caffe de Paris,cafe,Минск,Ленинский район,,,n2600533976,53.896281
n2747975249,Флора-Фарм ООО Аптека N3,pharmacy,Минск,Октябрьский район,улица Воронянского,3,n2747975249,53.8787121
n4215297893,Аптека N2 ООО Медтехпром,pharmacy,Минск,Партизанский район,,,n4215297893,53.8867676
w331486910,д/с №205,kindergarten,Минск,Фрунзенский район,,,w331486910,53.8973509585741
n1119772802,"№1 ООО ""Моя аптека""",pharmacy,Минск,Фрунзенский район,,,n1119772802,53.9012117
n3828231907,Европит,cafe,Минск,Первомайский район,проспект Независимости,,n3828231907,53.9222505
w303150839,СШ №172,school,Минск,Заводской район,,,w303150839,53.8815048195778
n305682833,Бомонд,cafe,Минск,Ленинский район,,,n305682833,53.9007751
w378652401,,college,Минск,Октябрьский район,,,w378652401,53.864813821135
n3977676693,Столовая Минсельхозпрод,fast_food,Минск,Ленинский район,улица Кирова,15,n3977676693,53.8961998
w80262943,д/с №473,kindergarten,Минск,Московский район,,,w80262943,53.8505553275123
n2833115669,Гараж,cafe,Минск,Московский район,,,n2833115669,53.8597495
n3933640875,"УЗ ""22-я городская детская поликлиника""",hospital,Минск,Заводской район,Ташкентский проезд,7,n3933640875,53.8366955
n3148781196,,cafe,Минск,Советский район,,,n3148781196,53.9188129
n3206003050,Зелёная аптека,pharmacy,Минск,Фрунзенский район,,,n3206003050,53.9111172
n281729017,Джомолунгма,restaurant,Минск,Советский район,,,n281729017,53.9137395
w336559347,д/с №556,kindergarten,Минск,Московский район,,,w336559347,53.8602966054817
w225386982,Гимназия №74,school,Минск,Октябрьский район,,,w225386982,53.8844635426964
n3348069113,Шоколадный бар,cafe,Минск,Центральный район,,,n3348069113,53.9080291
w331975635,д/с №425,kindergarten,Минск,Фрунзенский район,,,w331975635,53.9016034728169
n3840372503,Столовая,cafe,Минск,Ленинский район,,,n3840372503,53.8909077
n1213923591,Беролина №3,pharmacy,Минск,Первомайский район,,,n1213923591,53.9256446
n2582371177,,pharmacy,Минск,Московский район,,,n2582371177,53.8517534
n3952195315,Аптека,pharmacy,Минск,Фрунзенский район,,,n3952195315,53.9179038
n915408294,Столовая,cafe,Минск,Первомайский район,,,n915408294,53.9285184
n3284349113,Пиццерия,cafe,Минск,Московский район,,,n3284349113,53.8622674
n4273213890,Ynot cafe & bar,cafe,Минск,Центральный район,,,n4273213890,53.9172947
w373876080,СШ №177,school,Минск,Первомайский район,,,w373876080,53.9355518620604
n3510444057,,cafe,Минск,Фрунзенский район,,,n3510444057,53.9104841
w25393392,,restaurant,Минск,Фрунзенский район,улица Одоевского,52А,w25393392,53.9026700852174
w71295578,д/с №298,kindergarten,Минск,Фрунзенский район,,,w71295578,53.9104328985031
